"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 17 04:57:41 GMT 2024","Wed Apr 17 04:57:43 GMT 2024","2444","","Worker Suite","","Worker Suite","","[It] Slice Config Events Test Events get recorded for slice config events on worker Events get recorded for slice config update on worker Validating events for slice configs updates",""
"passed","Wed Apr 17 04:57:41 GMT 2024","Wed Apr 17 04:57:56 GMT 2024","15165","","Worker Suite","","Worker Suite","","[It] mutation webhook tests Testing mutation webhook functionality after namespace onboard Should mutate statefulsets with labels and annotations with nsm sidecars injected",""
"passed","Wed Apr 17 04:57:41 GMT 2024","Wed Apr 17 04:57:51 GMT 2024","10788","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting nsm-manager pod Should restart nsm-manager pod",""
"passed","Wed Apr 17 04:57:41 GMT 2024","Wed Apr 17 04:57:41 GMT 2024","314","","Worker Suite","","Worker Suite","","[It] Edit NodeIP tests for cluster CR,  Edit NodeIP validation,  Node IP Auto-detection should work",""
"passed","Wed Apr 17 06:11:34 GMT 2024","Wed Apr 17 06:11:34 GMT 2024","705","","SliceHealth Suite","","SliceHealth Suite","","[It] Verify gw redundancy wrt health check when both gateways are up should have tunnel status in normal state",""
"passed","Wed Apr 17 04:57:41 GMT 2024","Wed Apr 17 04:58:03 GMT 2024","22744","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Should have application namespaces created",""
"passed","Wed Apr 17 04:57:41 GMT 2024","Wed Apr 17 04:58:41 GMT 2024","60432","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Verify Iperf traffic",""
"skipped","Wed Apr 17 04:57:41 GMT 2024","Wed Apr 17 04:57:41 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Test Slice Gateway Service config >  gatewayServiceType: LB >  Verify load balancer creation",""
"passed","Wed Apr 17 04:57:41 GMT 2024","Wed Apr 17 04:58:41 GMT 2024","60406","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Iperf connectivity Verify Iperf traffic",""
"passed","Wed Apr 17 04:57:41 GMT 2024","Wed Apr 17 04:57:41 GMT 2024","198","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with invalid values on slice subnet",""
