"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Mar 29 12:54:51 GMT 2024","Fri Mar 29 12:54:52 GMT 2024","1054","","VPNKeyRotation Suite","","VPNKeyRotation Suite","","[BeforeSuite]",""
"passed","Fri Mar 29 12:54:51 GMT 2024","Fri Mar 29 12:54:52 GMT 2024","1721","","VPNKeyRotation Suite","","VPNKeyRotation Suite","","[AfterSuite]",""
"failed","Fri Mar 29 12:54:59 GMT 2024","Fri Mar 29 12:54:59 GMT 2024","498","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"failed","Fri Mar 29 12:55:04 GMT 2024","Fri Mar 29 12:55:04 GMT 2024","130","","SliceHealth Suite","","SliceHealth Suite","","[BeforeSuite]",""
"passed","Fri Mar 29 12:55:04 GMT 2024","Fri Mar 29 12:55:04 GMT 2024","402","","SliceHealth Suite","","SliceHealth Suite","","[AfterSuite]",""
"passed","Fri Mar 29 12:54:59 GMT 2024","Fri Mar 29 12:55:00 GMT 2024","1435","","Worker Suite","","Worker Suite","","[AfterSuite]",""
