"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 30 22:00:33 GMT 2024","Sat Mar 30 22:02:32 GMT 2024","119278","","SliceHealth Suite","","SliceHealth Suite","","[It] Testing Slice Health feature >  Verify various properties of SliceHealth object in worker slice config spec >  Should have slice egress unavailable when egress is unavailable",""
"passed","Sat Mar 30 22:00:33 GMT 2024","Sat Mar 30 22:00:41 GMT 2024","8650","","SliceHealth Suite","","SliceHealth Suite","","[It] Testing Slice Health feature >  Verify various properties of SliceHealth object in worker slice config spec >  Should have individual component status Normal",""
"passed","Sat Mar 30 22:44:55 GMT 2024","Sat Mar 30 22:44:57 GMT 2024","2399","","VPNKeyRotation Suite","","VPNKeyRotation Suite","","[It] Verify vpn key rotation functionality: all workers should be in IN_PROGRESS",""
"passed","Sat Mar 30 23:14:14 GMT 2024","Sat Mar 30 23:24:49 GMT 2024","635943","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Sat Mar 30 22:44:55 GMT 2024","Sat Mar 30 22:45:25 GMT 2024","30366","","VPNKeyRotation Suite","","VPNKeyRotation Suite","","[It] Verify vpn key rotation functionality: Should update new certificate and expiry TS",""
"passed","Sat Mar 30 22:00:33 GMT 2024","Sat Mar 30 22:05:20 GMT 2024","287856","","SliceHealth Suite","","SliceHealth Suite","","[BeforeSuite]",""
"passed","Sat Mar 30 22:00:33 GMT 2024","Sat Mar 30 22:02:32 GMT 2024","119212","","SliceHealth Suite","","SliceHealth Suite","","[It] Verify gw redundancy wrt health check when both gateways are up should have gw in normal state",""
"passed","Sat Mar 30 22:00:33 GMT 2024","Sat Mar 30 22:02:33 GMT 2024","120714","","SliceHealth Suite","","SliceHealth Suite","","[It] Verify gw redundancy wrt health check when atleast one gateway is down should have gw health in warning state",""
"passed","Sat Mar 30 22:44:55 GMT 2024","Sat Mar 30 22:45:54 GMT 2024","59548","","VPNKeyRotation Suite","","VPNKeyRotation Suite","","[It] Verify vpn key rotation functionality: worker status should be back to COMPLETE state",""
"passed","Sat Mar 30 22:00:33 GMT 2024","Sat Mar 30 22:02:32 GMT 2024","119885","","SliceHealth Suite","","SliceHealth Suite","","[It] Verify gw redundancy wrt health check when both gateways are down should have gw in error state",""
