"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 07:55:13 GMT 2024","Tue Apr 16 07:57:13 GMT 2024","120730","","SliceHealth Suite","","SliceHealth Suite","","[It] Verify gw redundancy wrt health check when both gateways are up should have gw in normal state",""
"skipped","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] GW redundacy tests Test gw redundancy checking if gw pods are balanced after adding the label to the node",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:33 GMT 2024","30603","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-server pod Should restart iperf-server pod",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:05 GMT 2024","2152","","Worker Suite","","Worker Suite","","[It] NodeRestartSlice Testing node restart Should have application namespaces created",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","631","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with invalid values on slice subnet",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:06 GMT 2024","3098","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed install slice blue workers should have vl3 routers from both slices",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","246","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should install networkpolicies in all application namespaces",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:21 GMT 2024","18840","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Should install iperf-sleep on client cluster",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","221","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Test Slice Gateway Service config >  gatewayServiceType: LB >  should create workerSliceGw cr with gw svc type=LB & protocol=TCP",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","470","","Worker Suite","","Worker Suite","","[It] Test Slice Gateway Service config >  default sliceGatewaySvcType >  verify l3 traffic is not working when gw svc type=NodePort",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:13 GMT 2024","10883","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Namespaces are labeled with kubeslice label Delete namespace deleted app ns entry should get removed from cluster objs",""
"passed","Tue Apr 16 09:43:07 GMT 2024","Tue Apr 16 09:43:07 GMT 2024","76","","VPNKeyRotation Suite","","VPNKeyRotation Suite","","[It] Verify vpn key rotation functionality: rotation Interval should be 30 by default",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:07 GMT 2024","4133","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed workers should have vl3 router pods running",""
"passed","Tue Apr 16 09:43:07 GMT 2024","Tue Apr 16 09:44:41 GMT 2024","94562","","VPNKeyRotation Suite","","VPNKeyRotation Suite","","[It] Verify vpn key rotation functionality: should run iperf",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","208","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Namespaces are labeled with kubeslice label Offboard slice get detached from app ns in cluster objects",""
"skipped","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Check bandwidth ceiling",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:57 GMT 2024","54267","","Worker Suite","","Worker Suite","","[It] Edit NodeIP tests for cluster CR,  Edit NodeIP validation,  Test nodeip validity >  Verify Node IP address in cluster status should match with openvpn server endpoint ip",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:41:03 GMT 2024","120766","","Worker Suite","","Worker Suite","","[It] Test Slice Gateway Service config >  default sliceGatewaySvcType >  verify slice healthy",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:05 GMT 2024","2903","","Worker Suite","","Worker Suite","","[It] Slice Config Events Test Events get recorded for slice config events on worker Events get recorded for slice config update on worker Validating events for slice configs updates",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:23 GMT 2024","20074","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with LOW QOS should have gateway pod running",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:05 GMT 2024","2031","","Worker Suite","","Worker Suite","","[It] Slice deletion tests: Slice is installed & validated Slice object is deleted from hub should remove gateway pod from spoke",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","78","","Worker Suite","","Worker Suite","","[It] Test Slice Gateway Service config >  default sliceGatewaySvcType >  should create workerSliceGw cr with default gw svc type & protocol",""
"passed","Tue Apr 16 07:55:13 GMT 2024","Tue Apr 16 07:57:12 GMT 2024","119900","","SliceHealth Suite","","SliceHealth Suite","","[It] Verify gw redundancy wrt health check when atleast one gateway is down should have gw health in warning state",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:26 GMT 2024","23054","","Worker Suite","","Worker Suite","","[It] mutation webhook tests Testing mutation webhook functionality after namespace onboard Should mutate daemonsets with labels and annotations with nsm sidecars injected",""
"skipped","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","59","","Worker Suite","","Worker Suite","","[It] GW redundacy tests Test gw redundancy Should have vl3 pod running",""
"passed","Tue Apr 16 07:55:13 GMT 2024","Tue Apr 16 07:57:11 GMT 2024","118968","","SliceHealth Suite","","SliceHealth Suite","","[It] Testing Slice Health feature >  Verify various properties of SliceHealth object in worker slice config spec >  Should not have slice ingress status when ingress is unavailable",""
"passed","Tue Apr 16 09:43:07 GMT 2024","Tue Apr 16 09:43:47 GMT 2024","40115","","VPNKeyRotation Suite","","VPNKeyRotation Suite","","[It] Verify vpn key rotation functionality: all FSM's should get over",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:15 GMT 2024","12423","","Worker Suite","","Worker Suite","","[It] mutation webhook tests Testing mutation webhook functionality after namespace onboard Should mutate statefulsets with labels and annotations with nsm sidecars injected",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:43:24 GMT 2024","261043","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:33 GMT 2024","30527","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-client pod Should restart iperf-client pod",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","542","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed workers should get attached to slice",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:06 GMT 2024","3133","","Worker Suite","","Worker Suite","","[It] Slice Config Events Test Events get recorded for slice config creation and deletion Events get recorded for slice config creation Validating events for slice gateway job creation",""
