"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 15 17:38:13 GMT 2024","Mon Apr 15 17:39:48 GMT 2024","95185","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with LOW QOS should have gateway pod running",""
"passed","Mon Apr 15 18:49:24 GMT 2024","Mon Apr 15 18:51:24 GMT 2024","120342","","SliceHealth Suite","","SliceHealth Suite","","[It] Verify gw redundancy wrt health check when atleast one gateway is down should have gw health in warning state",""
"skipped","Mon Apr 15 17:38:13 GMT 2024","Mon Apr 15 17:38:13 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should successfully deploy slice for valid namespace and valid clusters in allowedNamespaces of sliceconfigs manifest",""
"passed","Mon Apr 15 17:38:13 GMT 2024","Mon Apr 15 17:41:18 GMT 2024","185347","","Worker Suite","","Worker Suite","","[It] mutation webhook tests Testing mutation webhook functionality after namespace onboard Should verify iperf connectivity",""
"passed","Mon Apr 15 17:38:13 GMT 2024","Mon Apr 15 17:38:13 GMT 2024","3","","Worker Suite","","Worker Suite","","[It] Attach/Deattach Scenario Attach cluster to a slice  when Deattach cluster from slice  should have gateway pod deleted from deattached cluster",""
"skipped","Mon Apr 15 17:38:13 GMT 2024","Mon Apr 15 17:38:13 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail when deploying clusters in namespaceisolationprofile with * and a cluster name in both applicationNamespace and allowedNamespace",""
"passed","Mon Apr 15 17:38:13 GMT 2024","Mon Apr 15 17:38:24 GMT 2024","11562","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting worker-operator pod Should restart worker-operator pod",""
"passed","Mon Apr 15 17:38:13 GMT 2024","Mon Apr 15 17:38:17 GMT 2024","4598","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Iperf connectivity Verify Connectivity between iperf-server and iperf-client",""
"skipped","Mon Apr 15 17:38:13 GMT 2024","Mon Apr 15 17:38:13 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Test Slice Gateway Service config >  gatewayServiceType: LB >  should create workerSliceConfig cr with gw svc type=LB & protocol=TCP",""
"passed","Mon Apr 15 17:38:13 GMT 2024","Mon Apr 15 17:38:37 GMT 2024","24730","","Worker Suite","","Worker Suite","","[It] Slice deletion tests: Slice is installed & validated Slice object is deleted from hub should remove vl3 router from spoke",""
