"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 15 15:53:10 GMT 2024","Mon Apr 15 15:53:10 GMT 2024","107","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should contain application namespaces",""
"passed","Mon Apr 15 15:53:10 GMT 2024","Mon Apr 15 15:53:13 GMT 2024","3272","","Worker Suite","","Worker Suite","","[It] Slice Config Events Test Events get recorded for slice config creation and deletion Events get recorded for slice config creation Validating events for slice gateway job creation",""
"passed","Mon Apr 15 15:53:10 GMT 2024","Mon Apr 15 15:53:37 GMT 2024","27478","","Worker Suite","","Worker Suite","","[It] mutation webhook tests Testing mutation webhook functionality after namespace onboard Should mutate deployments with labels and annotations with nsm sidecars injected",""
"passed","Mon Apr 15 15:53:10 GMT 2024","Mon Apr 15 15:53:10 GMT 2024","219","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Namespaces are labeled with kubeslice label Offboard remove label from app ns",""
"skipped","Mon Apr 15 15:53:10 GMT 2024","Mon Apr 15 15:53:10 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail while Deleting Slice without removing the namespaceIsolationProfile part in slice configs",""
"passed","Mon Apr 15 15:53:10 GMT 2024","Mon Apr 15 15:54:04 GMT 2024","54173","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed workers should have gateway pod running",""
"passed","Mon Apr 15 15:23:39 GMT 2024","Mon Apr 15 15:24:36 GMT 2024","57377","","VPNKeyRotation Suite","","VPNKeyRotation Suite","","[It] Verify vpn key rotation functionality: should have created vpnkeyrotation config",""
"passed","Mon Apr 15 15:53:10 GMT 2024","Mon Apr 15 15:53:14 GMT 2024","4434","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting worker-operator pod Check ping between iperf-server and iperf-client after worker-operator pod restart",""
"passed","Mon Apr 15 15:53:10 GMT 2024","Mon Apr 15 15:53:11 GMT 2024","1641","","Worker Suite","","Worker Suite","","[It] Slice Config Events Test Events get recorded for service export creation and deletion Events get recorded for service export deletion Validating events for worker service imports deletion",""
"passed","Mon Apr 15 15:53:10 GMT 2024","Mon Apr 15 15:53:40 GMT 2024","30787","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-client pod Should restart iperf-client pod",""
"passed","Mon Apr 15 15:53:10 GMT 2024","Mon Apr 15 15:54:00 GMT 2024","50146","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with MEDIUM QOS should have gateway pod running",""
"passed","Mon Apr 15 15:53:10 GMT 2024","Mon Apr 15 15:54:30 GMT 2024","80433","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Application namespaces should be isolated",""
"passed","Mon Apr 15 15:53:10 GMT 2024","Mon Apr 15 15:53:40 GMT 2024","30683","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting forwarder-kernel pod Check ping between iperf-server and iperf-client after forwarder-kernel pod restart",""
"passed","Mon Apr 15 14:39:31 GMT 2024","Mon Apr 15 14:41:35 GMT 2024","124754","","SliceHealth Suite","","SliceHealth Suite","","[It] Testing Slice Health feature >  Verify various properties of SliceHealth object in worker slice config spec >  Should have slice slicerouter status Error when slicerouter is unavailable",""
"passed","Mon Apr 15 15:53:10 GMT 2024","Mon Apr 15 15:53:10 GMT 2024","85","","Worker Suite","","Worker Suite","","[It] Test Slice Gateway Service config >  default sliceGatewaySvcType >  should create workerSliceGw cr with default gw svc type & protocol",""
"passed","Mon Apr 15 15:23:39 GMT 2024","Mon Apr 15 15:44:26 GMT 2024","1247829","","VPNKeyRotation Suite","","VPNKeyRotation Suite","","[AfterSuite]",""
"passed","Mon Apr 15 15:53:10 GMT 2024","Mon Apr 15 15:53:10 GMT 2024","473","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed install slice blue workers should get attached to slice blue",""
"skipped","Mon Apr 15 15:53:10 GMT 2024","Mon Apr 15 15:53:10 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should successfully deploy for valid namespace creating clusters with * in both applicationNamespace and allowedNamespace",""
"passed","Mon Apr 15 15:53:10 GMT 2024","Mon Apr 15 15:53:12 GMT 2024","2087","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed workers should have vl3 router pods running",""
"passed","Mon Apr 15 15:53:10 GMT 2024","Mon Apr 15 15:53:10 GMT 2024","141","","Worker Suite","","Worker Suite","","[It] Test Slice Gateway Service config >  default sliceGatewaySvcType >  should create slice cr with default gw svc type & protocol",""
"passed","Mon Apr 15 15:53:10 GMT 2024","Mon Apr 15 15:53:20 GMT 2024","10836","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Namespaces are labeled with kubeslice label Delete namespace deleted app ns entry should get removed from cluster objs",""
"skipped","Mon Apr 15 15:53:10 GMT 2024","Mon Apr 15 15:53:10 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should remove successfully while Deleting Slice after removing the applicationNamespace in namespaceIsolationProfile part in slice configs",""
"passed","Mon Apr 15 15:53:10 GMT 2024","Mon Apr 15 15:53:10 GMT 2024","73","","Worker Suite","","Worker Suite","","[It] Test Slice Gateway Service config >  default sliceGatewaySvcType >  should create workerSliceConfig cr with default gw svc type & protocol",""
"passed","Mon Apr 15 14:39:31 GMT 2024","Mon Apr 15 14:39:31 GMT 2024","65","","SliceHealth Suite","","SliceHealth Suite","","[It] Verify gw redundancy wrt health check when both gateways are down should have tunnel status in error state",""
"passed","Mon Apr 15 15:53:10 GMT 2024","Mon Apr 15 15:53:11 GMT 2024","1183","","Worker Suite","","Worker Suite","","[It] Slice Config Events Test Events get recorded for slice config creation and deletion Events get recorded for slice config creation Validating events for worker slice configs creation",""
"passed","Mon Apr 15 15:53:10 GMT 2024","Mon Apr 15 15:53:13 GMT 2024","3189","","Worker Suite","","Worker Suite","","[It] Edit NodeIP tests for cluster CR,  Edit NodeIP validation,  Test nodeip validity >  Support more than two node ips in auto detection",""
"skipped","Mon Apr 15 15:53:10 GMT 2024","Mon Apr 15 15:53:10 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] GW redundacy tests Test gw redundancy should able to remove the label from gw pod",""
"passed","Mon Apr 15 14:39:31 GMT 2024","Mon Apr 15 14:41:32 GMT 2024","121344","","SliceHealth Suite","","SliceHealth Suite","","[It] Verify gw redundancy wrt health check when slice is installed should eventually have slicehealth status normal",""
