"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 29 16:08:37 GMT 2024","Fri Mar 29 16:08:37 GMT 2024","830","","VPNKeyRotation Suite","","VPNKeyRotation Suite","","[AfterSuite]",""
"passed","Fri Mar 29 16:08:39 GMT 2024","Fri Mar 29 16:08:39 GMT 2024","536","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"failed","Fri Mar 29 16:08:39 GMT 2024","Fri Mar 29 16:08:39 GMT 2024","305","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"failed","Fri Mar 29 16:08:38 GMT 2024","Fri Mar 29 16:08:38 GMT 2024","457","","SliceHealth Suite","","SliceHealth Suite","","[BeforeSuite]",""
"passed","Fri Mar 29 16:08:38 GMT 2024","Fri Mar 29 16:08:38 GMT 2024","985","","SliceHealth Suite","","SliceHealth Suite","","[AfterSuite]",""
"failed","Fri Mar 29 16:08:37 GMT 2024","Fri Mar 29 16:08:37 GMT 2024","261","","VPNKeyRotation Suite","","VPNKeyRotation Suite","","[BeforeSuite]",""
