"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 30 19:03:43 GMT 2024","Sat Mar 30 19:03:43 GMT 2024","974","","SliceHealth Suite","","SliceHealth Suite","","[AfterSuite]",""
"passed","Sat Mar 30 19:03:45 GMT 2024","Sat Mar 30 19:03:45 GMT 2024","422","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"failed","Sat Mar 30 19:03:45 GMT 2024","Sat Mar 30 19:03:45 GMT 2024","139","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"failed","Sat Mar 30 19:03:43 GMT 2024","Sat Mar 30 19:03:43 GMT 2024","300","","SliceHealth Suite","","SliceHealth Suite","","[BeforeSuite]",""
"failed","Sat Mar 30 19:03:42 GMT 2024","Sat Mar 30 19:03:42 GMT 2024","392","","VPNKeyRotation Suite","","VPNKeyRotation Suite","","[BeforeSuite]",""
"passed","Sat Mar 30 19:03:42 GMT 2024","Sat Mar 30 19:03:42 GMT 2024","880","","VPNKeyRotation Suite","","VPNKeyRotation Suite","","[AfterSuite]",""
