"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:02:33 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Attach/Deattach Scenario Attach cluster to a slice  when Deattach cluster from slice  should have gateway pod deleted from deattached cluster",""
"skipped","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:02:33 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting worker-operator pod Should restart worker-operator pod",""
"skipped","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:02:33 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] NodeRestartSlice Testing node restart should have vl3 router running",""
"skipped","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:02:33 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] GW redundacy tests Test gw redundancy should able to remove the label from gw pod",""
"skipped","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:02:33 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with with invalid DSCP class in qosprofiledetails",""
"skipped","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:02:33 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting forwarder-kernel pod Should restart forwarder-kernel pod",""
"skipped","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:02:33 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should have vl3 router running",""
"skipped","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:02:33 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting mesh-dns pod Should restart mesh-dns pod",""
"skipped","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:02:33 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-server pod Check ping between iperf-server and iperf-client after iperf-server pod restart",""
"skipped","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:02:33 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Check bandwidth ceiling",""
"skipped","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:02:33 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with MEDIUM QOS should reconcile medium qos slice",""
"failed","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:05:53 GMT 2024","200288","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should have application namespaces created",""
"skipped","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:02:33 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] mutation webhook tests Testing mutation webhook functionality after namespace deboard Should remove labels and annotaions from pod spec which will remove sidecars from statefulsets",""
"skipped","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:02:33 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting mesh-dns pod Check ping between iperf-server and iperf-client after mesh-dns pod restart",""
"skipped","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:02:33 GMT 2024","0","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile delete validation should remove gateway pod from spoke",""
"skipped","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:02:33 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with invalid clusters",""
"passed","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:02:33 GMT 2024","215","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Namespaces are labeled with kubeslice label Offboard slice get detached from app ns in cluster objects",""
"skipped","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:02:33 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting worker-operator pod Check ping between iperf-server and iperf-client after worker-operator pod restart",""
"skipped","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:02:33 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Slice Config Events Test Events get recorded for service export creation and deletion Events get recorded for service export deletion Validating events for service export deletion",""
"passed","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:02:33 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with bandwithguaranteedkbps more than bandwidthceilingkbps in qosprofiledetailsnvalid ",""
"skipped","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:02:33 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Test Slice Gateway Service config >  default sliceGatewaySvcType >  should create workerSliceGw cr with default gw svc type & protocol",""
"skipped","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:02:33 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-server pod Should restart iperf-server pod",""
"failed","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:03:33 GMT 2024","60343","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Should have application namespaces created",""
"skipped","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:02:33 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail while creating namespaces with same name in both allowedNamespace and applicationNamespace",""
"skipped","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:02:33 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Slice Config Events Test Events get recorded for slice config creation and deletion Events get recorded for slice config deletion Validating events for secrets deletion",""
"passed","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:08:18 GMT 2024","345780","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"skipped","Thu Apr 04 13:02:33 GMT 2024","Thu Apr 04 13:02:33 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Test Slice Gateway Service config >  gatewayServiceType: LB >  verify l3 traffic",""
