"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Apr 16 04:57:19 GMT 2024","Tue Apr 16 04:57:19 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Test Slice Gateway Service config >  gatewayServiceType: LB >  verify slice gw edge creation",""
"passed","Tue Apr 16 04:57:19 GMT 2024","Tue Apr 16 04:57:21 GMT 2024","2671","","Worker Suite","","Worker Suite","","[It] Slice Config Events Test Events get recorded for slice config events on worker Events get recorded for slice config update on worker Validating events for slice configs updates",""
"passed","Tue Apr 16 04:57:19 GMT 2024","Tue Apr 16 04:57:30 GMT 2024","11374","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Namespaces are labeled with kubeslice label Delete namespace deleted app ns entry should get removed from cluster objs",""
"passed","Tue Apr 16 04:57:19 GMT 2024","Tue Apr 16 04:57:19 GMT 2024","131","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with invalid values on slice name",""
"passed","Tue Apr 16 03:45:21 GMT 2024","Tue Apr 16 03:45:21 GMT 2024","65","","VPNKeyRotation Suite","","VPNKeyRotation Suite","","[It] Verify vpn key rotation functionality: should have FSM's running simultaneously",""
"passed","Tue Apr 16 04:57:19 GMT 2024","Tue Apr 16 04:57:49 GMT 2024","30773","","Worker Suite","","Worker Suite","","[It] Attach/Deattach Scenario Attach cluster to a slice  when Deattach cluster from slice  should have vl3 router deleted from deattach cluster",""
"passed","Tue Apr 16 04:57:19 GMT 2024","Tue Apr 16 04:57:19 GMT 2024","118","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should contain application namespaces",""
"passed","Tue Apr 16 04:57:19 GMT 2024","Tue Apr 16 04:57:35 GMT 2024","16092","","Worker Suite","","Worker Suite","","[It] Slice deletion tests: Slice is installed & validated Slice object is deleted from hub should remove gateway pod from spoke",""
"passed","Tue Apr 16 04:57:19 GMT 2024","Tue Apr 16 05:18:34 GMT 2024","1275165","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Tue Apr 16 04:57:19 GMT 2024","Tue Apr 16 04:57:22 GMT 2024","3809","","Worker Suite","","Worker Suite","","[It] Slice Config Events Test Events get recorded for slice config creation and deletion Events get recorded for slice config creation Validating events for slice gateway job creation",""
"passed","Tue Apr 16 04:57:19 GMT 2024","Tue Apr 16 04:58:30 GMT 2024","71646","","Worker Suite","","Worker Suite","","[It] Edit NodeIP tests for cluster CR,  Edit NodeIP validation,  Edit node IP in cluster spec",""
"passed","Tue Apr 16 04:57:19 GMT 2024","Tue Apr 16 04:57:51 GMT 2024","32749","","Worker Suite","","Worker Suite","","[It] Slice deletion tests: Slice is installed & validated Slice object is deleted from hub should remove vl3 router from spoke",""
"passed","Tue Apr 16 04:57:19 GMT 2024","Tue Apr 16 04:57:22 GMT 2024","3152","","Worker Suite","","Worker Suite","","[It] Edit NodeIP tests for cluster CR,  Edit NodeIP validation,  Test nodeip validity >  Support more than two node ips in auto detection",""
"passed","Tue Apr 16 04:57:19 GMT 2024","Tue Apr 16 04:57:25 GMT 2024","6228","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should have vl3 router running",""
"passed","Tue Apr 16 04:57:19 GMT 2024","Tue Apr 16 04:57:19 GMT 2024","405","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with invalid clusters",""
"passed","Tue Apr 16 04:16:07 GMT 2024","Tue Apr 16 04:18:08 GMT 2024","121313","","SliceHealth Suite","","SliceHealth Suite","","[It] Testing Slice Health feature >  Verify various properties of SliceHealth object in worker slice config spec >  Should have slice slicerouter status Error when slicerouter is unavailable",""
"passed","Tue Apr 16 04:57:19 GMT 2024","Tue Apr 16 04:57:41 GMT 2024","22506","","Worker Suite","","Worker Suite","","[It] NodeRestartSlice Testing node restart Should have application namespaces created",""
"passed","Tue Apr 16 03:45:21 GMT 2024","Tue Apr 16 03:46:21 GMT 2024","60509","","VPNKeyRotation Suite","","VPNKeyRotation Suite","","[It] Verify vpn key rotation functionality: Should update new certificate and expiry TS",""
"passed","Tue Apr 16 04:57:19 GMT 2024","Tue Apr 16 04:57:19 GMT 2024","76","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile Create validation Create qos profile- validation of BandwidthCeilingKbps > BandwidthGuaranteedKbps",""
"passed","Tue Apr 16 04:57:19 GMT 2024","Tue Apr 16 04:57:19 GMT 2024","489","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed workers should get attached to slice",""
"passed","Tue Apr 16 04:16:07 GMT 2024","Tue Apr 16 04:16:07 GMT 2024","630","","SliceHealth Suite","","SliceHealth Suite","","[It] Verify gw redundancy wrt health check when both gateways are up should have tunnel status in normal state",""
"passed","Tue Apr 16 04:57:19 GMT 2024","Tue Apr 16 04:57:32 GMT 2024","13702","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Iperf connectivity Verify Connectivity between iperf-server and iperf-client",""
"passed","Tue Apr 16 04:57:19 GMT 2024","Tue Apr 16 04:57:19 GMT 2024","282","","Worker Suite","","Worker Suite","","[It] Slice Config Events Test Events get recorded for slice config creation and deletion Events get recorded for slice config deletion Validating events for secrets deletion",""
